Time (UTC),03/30/26,03/31/26,04/01/26,04/02/26,04/03/26,04/04/26,04/05/26,04/06/26,04/07/26,04/08/26,04/09/26,04/10/26,04/11/26,04/12/26,04/13/26
00:00,,3.3333333333333335,0.0,0.5555555555555556,1.1111111111111112,0.0,1.1111111111111112,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556
00:30,,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,1.1111111111111112,2.2222222222222223
01:00,,0.5555555555555556,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.5555555555555556,0.0
01:30,,0.0,0.5555555555555556,0.0,0.5555555555555556,0.0,0.5555555555555556,0.0,1.6666666666666667,0.0,0.0,1.1111111111111112,0.0,0.0,3.3333333333333335
02:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.1111111111111112,0.0,0.0,0.0,0.5555555555555556,0.0,0.0
02:30,,0.0,0.5555555555555556,0.0,1.1111111111111112,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556
03:00,,0.0,36.11111111111111,0.0,13.333333333333334,48.888888888888886,37.77777777777777,36.11111111111111,33.333333333333336,19.444444444444446,18.333333333333336,4.444444444444445,21.666666666666668,3.3333333333333335,1.6666666666666667
03:30,,0.0,69.44444444444446,2.2222222222222223,6.666666666666667,100.0,70.0,100.0,100.0,84.99999999999999,70.0,86.66666666666667,100.0,54.44444444444445,3.888888888888889
04:00,,2.7777777777777772,20.555555555555557,0.0,0.0,72.77777777777777,21.666666666666668,100.0,100.0,0.0,18.333333333333336,10.0,75.55555555555554,28.88888888888889,0.0
04:30,,0.0,10.0,0.0,0.5555555555555556,12.777777777777779,9.444444444444445,94.44444444444446,99.44444444444444,0.5555555555555556,12.777777777777779,12.777777777777779,30.555555555555554,2.7777777777777772,0.5555555555555556
05:00,,0.0,0.0,0.0,0.5555555555555556,2.7777777777777772,16.666666666666668,52.77777777777777,96.66666666666667,0.0,3.3333333333333335,0.0,16.11111111111111,3.3333333333333335,4.444444444444445
05:30,,0.0,0.5555555555555556,0.0,0.0,1.6666666666666667,0.0,5.0,0.0,0.0,0.5555555555555556,0.5555555555555556,3.888888888888889,1.6666666666666667,3.3333333333333335
06:00,,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,1.1111111111111112,3.3333333333333335,2.7777777777777772,0.0,0.5555555555555556,0.0,15.0,0.0,1.6666666666666667
06:30,,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,0.0,7.777777777777778,2.2222222222222223,0.0,0.0,2.7777777777777772,32.77777777777777,0.0,1.1111111111111112
07:00,,0.0,0.5555555555555556,0.0,0.0,0.0,0.5555555555555556,0.0,1.1111111111111112,1.6666666666666667,0.0,5.5555555555555545,15.0,0.0,2.7777777777777772
07:30,,0.0,0.0,0.0,1.6666666666666667,0.0,5.5555555555555545,2.2222222222222223,0.0,1.1111111111111112,0.0,9.444444444444445,13.888888888888891,0.0,2.2222222222222223
08:00,,0.0,1.1111111111111112,0.0,3.888888888888889,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,8.88888888888889,8.88888888888889,0.0,1.1111111111111112
08:30,,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,6.666666666666667,0.0,0.0,0.0,0.0,9.444444444444445,3.888888888888889,1.1111111111111112
09:00,,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.5555555555555556,0.0,0.5555555555555556,4.444444444444445,4.444444444444445,0.5555555555555556
09:30,,0.0,0.0,0.0,1.6666666666666667,1.1111111111111112,0.0,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,3.3333333333333335,0.5555555555555556,1.6666666666666667
10:00,,0.0,0.5555555555555556,0.0,1.1111111111111112,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,2.2222222222222223
10:30,,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.5555555555555556,0.0,0.0,1.6666666666666667,3.888888888888889,0.0,2.2222222222222223
11:00,,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,1.6666666666666667
11:30,,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,1.1111111111111112,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,1.1111111111111112
12:00,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,2.2222222222222223,0.0,0.0
12:30,,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.5555555555555556,0.0,0.0
13:00,,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,2.2222222222222223
13:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,1.6666666666666667,0.0,0.5555555555555556
14:00,,0.0,1.6666666666666667,0.5555555555555556,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,1.1111111111111112,5.0
14:30,,0.0,1.1111111111111112,0.0,0.5555555555555556,1.1111111111111112,0.0,0.0,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,1.1111111111111112,0.0,3.3333333333333335
15:00,,0.0,1.1111111111111112,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,1.1111111111111112,0.0,0.5555555555555556,4.444444444444445
15:30,,0.5555555555555556,1.6666666666666667,1.1111111111111112,0.5555555555555556,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,2.7777777777777772,0.0,1.6666666666666667,3.888888888888889
16:00,,0.0,2.2222222222222223,0.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,0.0,0.5555555555555556,1.6666666666666667,0.0,0.5555555555555556,1.1111111111111112
16:30,,0.0,1.1111111111111112,0.5555555555555556,0.0,0.5555555555555556,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,1.1111111111111112,0.5555555555555556,3.3333333333333335
17:00,,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.5555555555555556,0.0,0.0,0.0,0.5555555555555556,0.0,3.3333333333333335
17:30,,1.1111111111111112,0.0,0.5555555555555556,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,0.0,0.5555555555555556,4.444444444444445
18:00,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,1.1111111111111112,0.0,1.6666666666666667,0.0,3.888888888888889
18:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,0.0,1.6666666666666667,0.0,0.5555555555555556
19:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,2.7777777777777772
19:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,3.3333333333333335
20:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,
20:30,,0.0,1.1111111111111112,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,
