Time (UTC),08/07/25,08/08/25,08/09/25,08/10/25,08/11/25,08/12/25,08/13/25,08/14/25,08/15/25,08/16/25,08/17/25,08/18/25,08/19/25,08/20/25,08/21/25
00:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0
02:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0
02:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:30,,0.0,0.0,0.0,0.0,0.0,6.666666666666667,7.222222222222222,18.888888888888886,0.0,20.0,3.3333333333333335,7.777777777777776,12.777777777777779,34.44444444444445
04:00,,12.22222222222222,1.6666666666666667,3.888888888888889,13.333333333333334,17.222222222222225,3.888888888888889,10.0,37.22222222222223,0.0,7.777777777777776,2.2222222222222223,3.3333333333333335,0.0,0.0
04:30,,10.555555555555555,12.22222222222222,3.888888888888889,5.5555555555555545,2.2222222222222223,2.7777777777777772,14.444444444444445,16.11111111111111,3.888888888888889,0.0,5.5555555555555545,3.3333333333333335,2.2222222222222223,2.2222222222222223
05:00,,1.6666666666666667,16.11111111111111,2.7777777777777772,0.0,1.6666666666666667,0.0,3.3333333333333335,10.555555555555555,5.0,1.111111111111111,6.11111111111111,5.0,0.0,0.0
05:30,,30.0,40.0,3.3333333333333335,0.0,0.0,0.0,11.111111111111109,1.111111111111111,1.111111111111111,13.888888888888891,11.666666666666666,2.2222222222222223,5.5555555555555545,1.6666666666666667
06:00,,15.555555555555552,22.777777777777775,2.7777777777777772,2.2222222222222223,0.0,1.111111111111111,20.0,1.6666666666666667,9.444444444444443,33.333333333333336,10.0,2.2222222222222223,3.3333333333333335,11.666666666666666
06:30,,9.444444444444443,30.555555555555554,4.444444444444445,0.5555555555555556,0.0,0.0,19.444444444444446,0.0,13.333333333333334,32.22222222222223,2.7777777777777772,2.7777777777777772,3.888888888888889,17.77777777777778
07:00,,17.77777777777778,11.111111111111109,25.0,1.6666666666666667,2.7777777777777772,1.111111111111111,23.333333333333332,0.0,20.555555555555557,12.777777777777779,5.5555555555555545,0.5555555555555556,2.2222222222222223,13.333333333333334
07:30,,10.555555555555555,36.666666666666664,40.0,1.111111111111111,12.22222222222222,0.0,38.333333333333336,0.5555555555555556,15.0,24.444444444444443,12.777777777777779,0.0,5.0,1.6666666666666667
08:00,,23.88888888888889,30.0,33.888888888888886,0.5555555555555556,0.5555555555555556,0.0,20.0,3.888888888888889,43.888888888888886,26.666666666666668,5.5555555555555545,1.111111111111111,6.666666666666667,
08:30,,11.111111111111109,61.666666666666664,41.666666666666664,1.111111111111111,7.777777777777776,2.7777777777777772,72.77777777777776,24.444444444444443,82.22222222222223,38.88888888888889,1.6666666666666667,2.7777777777777772,3.888888888888889,
09:00,,9.444444444444443,26.666666666666668,26.666666666666668,1.6666666666666667,11.111111111111109,1.6666666666666667,35.555555555555564,80.55555555555554,63.333333333333336,54.44444444444445,4.444444444444445,0.5555555555555556,12.777777777777779,
09:30,,8.333333333333334,10.555555555555555,30.555555555555554,0.0,1.6666666666666667,0.0,31.666666666666668,78.33333333333333,72.77777777777776,46.111111111111114,0.0,0.0,2.7777777777777772,
10:00,,8.333333333333334,13.888888888888891,20.555555555555557,0.0,0.0,1.6666666666666667,60.0,28.88888888888889,93.33333333333333,22.222222222222218,3.3333333333333335,1.111111111111111,10.555555555555555,
10:30,,16.666666666666668,20.555555555555557,26.666666666666668,0.0,1.6666666666666667,0.0,34.44444444444445,37.22222222222223,91.66666666666667,26.666666666666668,1.111111111111111,5.0,6.11111111111111,
11:00,,9.444444444444443,7.222222222222222,6.11111111111111,1.6666666666666667,2.2222222222222223,2.7777777777777772,9.444444444444443,33.888888888888886,53.333333333333336,10.555555555555555,2.2222222222222223,3.888888888888889,2.2222222222222223,
11:30,,27.777777777777782,7.777777777777776,8.333333333333334,0.0,3.3333333333333335,0.0,6.11111111111111,46.111111111111114,8.88888888888889,4.444444444444445,10.0,7.222222222222222,6.11111111111111,
12:00,,13.333333333333334,3.3333333333333335,2.7777777777777772,0.0,0.5555555555555556,2.2222222222222223,6.666666666666667,35.555555555555564,13.333333333333334,0.5555555555555556,1.111111111111111,2.7777777777777772,13.888888888888891,
12:30,,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,5.5555555555555545,0.0,6.11111111111111,0.5555555555555556,0.5555555555555556,1.111111111111111,3.888888888888889,
13:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,
13:30,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,
16:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19:30,,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,
21:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23:00,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23:30,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,
